2025-03-26 11:41:05 - 
2025-03-26 11:41:05 - =========================( Parsing command line arguments )=========================
2025-03-26 11:41:05 - 
2025-03-26 11:41:05 - All paths relative to input file subdirectory <../tests/perf/lb/scenario/guo/>
2025-03-26 11:41:05 - Input file = <../tests/perf/lb/scenario/guo/input_1core>
2025-03-26 11:41:05 - File tag = <default>
2025-03-26 11:41:05 - From now on logging to file <LOG_1core>
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
 size(this%pop(comp)%array(:, s), 1) =        39304
